##SEIR model beta=0.4000 gamma=0.2000 alpha=0.2000  produced by macroInfection[.cpp]
#time[days]	S	E	I	R
125.0000	0.2096	0.0040	0.0061	0.7803
126.0000	0.2091	0.0037	0.0057	0.7815
127.0000	0.2086	0.0035	0.0053	0.7826
128.0000	0.2082	0.0032	0.0050	0.7836
129.0000	0.2078	0.0030	0.0046	0.7846
130.0000	0.2074	0.0028	0.0043	0.7855
131.0000	0.2071	0.0026	0.0040	0.7863
132.0000	0.2068	0.0024	0.0037	0.7871
133.0000	0.2065	0.0022	0.0035	0.7878
134.0000	0.2062	0.0021	0.0032	0.7885
135.0000	0.2059	0.0019	0.0030	0.7891
136.0000	0.2057	0.0018	0.0028	0.7897
137.0000	0.2055	0.0017	0.0026	0.7902
138.0000	0.2053	0.0016	0.0024	0.7907
139.0000	0.2051	0.0015	0.0023	0.7912
140.0000	0.2049	0.0014	0.0021	0.7916
141.0000	0.2047	0.0013	0.0020	0.7921
142.0000	0.2046	0.0012	0.0018	0.7924
143.0000	0.2044	0.0011	0.0017	0.7928
144.0000	0.2043	0.0010	0.0016	0.7931
145.0000	0.2042	0.0009	0.0015	0.7934
146.0000	0.2040	0.0009	0.0014	0.7937
147.0000	0.2039	0.0008	0.0013	0.7940
148.0000	0.2038	0.0008	0.0012	0.7942
149.0000	0.2037	0.0007	0.0011	0.7944
150.0000	0.2037	0.0007	0.0010	0.7947
151.0000	0.2036	0.0006	0.0010	0.7949
152.0000	0.2035	0.0006	0.0009	0.7950
153.0000	0.2034	0.0005	0.0008	0.7952
154.0000	0.2034	0.0005	0.0008	0.7954
155.0000	0.2033	0.0005	0.0007	0.7955
156.0000	0.2033	0.0004	0.0007	0.7957
157.0000	0.2032	0.0004	0.0006	0.7958
158.0000	0.2031	0.0004	0.0006	0.7959
159.0000	0.2031	0.0003	0.0005	0.7960
160.0000	0.2031	0.0003	0.0005	0.7961
161.0000	0.2030	0.0003	0.0005	0.7962
162.0000	0.2030	0.0003	0.0004	0.7963
163.0000	0.2030	0.0003	0.0004	0.7964
164.0000	0.2029	0.0002	0.0004	0.7965
165.0000	0.2029	0.0002	0.0003	0.7965
166.0000	0.2029	0.0002	0.0003	0.7966
167.0000	0.2028	0.0002	0.0003	0.7967
168.0000	0.2028	0.0002	0.0003	0.7967
169.0000	0.2028	0.0002	0.0003	0.7968
170.0000	0.2028	0.0002	0.0002	0.7968
171.0000	0.2028	0.0001	0.0002	0.7969
172.0000	0.2027	0.0001	0.0002	0.7969
173.0000	0.2027	0.0001	0.0002	0.7970
174.0000	0.2027	0.0001	0.0002	0.7970
175.0000	0.2027	0.0001	0.0002	0.7970
176.0000	0.2027	0.0001	0.0002	0.7971
177.0000	0.2027	0.0001	0.0001	0.7971
178.0000	0.2027	0.0001	0.0001	0.7971
179.0000	0.2026	0.0001	0.0001	0.7971
180.0000	0.2026	0.0001	0.0001	0.7972
181.0000	0.2026	0.0001	0.0001	0.7972
182.0000	0.2026	0.0001	0.0001	0.7972
183.0000	0.2026	0.0001	0.0001	0.7972
184.0000	0.2026	0.0001	0.0001	0.7973
185.0000	0.2026	0.0001	0.0001	0.7973
186.0000	0.2026	0.0000	0.0001	0.7973
187.0000	0.2026	0.0000	0.0001	0.7973
188.0000	0.2026	0.0000	0.0001	0.7973
189.0000	0.2026	0.0000	0.0001	0.7973
190.0000	0.2026	0.0000	0.0001	0.7973
191.0000	0.2026	0.0000	0.0001	0.7974
192.0000	0.2026	0.0000	0.0000	0.7974
193.0000	0.2026	0.0000	0.0000	0.7974
194.0000	0.2026	0.0000	0.0000	0.7974
195.0000	0.2025	0.0000	0.0000	0.7974
196.0000	0.2025	0.0000	0.0000	0.7974
197.0000	0.2025	0.0000	0.0000	0.7974
198.0000	0.2025	0.0000	0.0000	0.7974
199.0000	0.2025	0.0000	0.0000	0.7974
200.0000	0.2025	0.0000	0.0000	0.7974
201.0000	0.2025	0.0000	0.0000	0.7974
202.0000	0.2025	0.0000	0.0000	0.7974
203.0000	0.2025	0.0000	0.0000	0.7974
204.0000	0.2025	0.0000	0.0000	0.7974
205.0000	0.2025	0.0000	0.0000	0.7974
206.0000	0.2025	0.0000	0.0000	0.7974
207.0000	0.2025	0.0000	0.0000	0.7974
208.0000	0.2025	0.0000	0.0000	0.7975
209.0000	0.2025	0.0000	0.0000	0.7975
210.0000	0.2025	0.0000	0.0000	0.7975
211.0000	0.2025	0.0000	0.0000	0.7975
212.0000	0.2025	0.0000	0.0000	0.7975
213.0000	0.2025	0.0000	0.0000	0.7975
214.0000	0.2025	0.0000	0.0000	0.7975
215.0000	0.2025	0.0000	0.0000	0.7975
216.0000	0.2025	0.0000	0.0000	0.7975
217.0000	0.2025	0.0000	0.0000	0.7975
218.0000	0.2025	0.0000	0.0000	0.7975
219.0000	0.2025	0.0000	0.0000	0.7975
220.0000	0.2025	0.0000	0.0000	0.7975
221.0000	0.2025	0.0000	0.0000	0.7975
222.0000	0.2025	0.0000	0.0000	0.7975
223.0000	0.2025	0.0000	0.0000	0.7975
224.0000	0.2025	0.0000	0.0000	0.7975
225.0000	0.2025	0.0000	0.0000	0.7975
226.0000	0.2025	0.0000	0.0000	0.7975
227.0000	0.2025	0.0000	0.0000	0.7975
228.0000	0.2025	0.0000	0.0000	0.7975
229.0000	0.2025	0.0000	0.0000	0.7975
230.0000	0.2025	0.0000	0.0000	0.7975
231.0000	0.2025	0.0000	0.0000	0.7975
232.0000	0.2025	0.0000	0.0000	0.7975
233.0000	0.2025	0.0000	0.0000	0.7975
234.0000	0.2025	0.0000	0.0000	0.7975
235.0000	0.2025	0.0000	0.0000	0.7975
236.0000	0.2025	0.0000	0.0000	0.7975
237.0000	0.2025	0.0000	0.0000	0.7975
238.0000	0.2025	0.0000	0.0000	0.7975
239.0000	0.2025	0.0000	0.0000	0.7975
240.0000	0.2025	0.0000	0.0000	0.7975
241.0000	0.2025	0.0000	0.0000	0.7975
242.0000	0.2025	0.0000	0.0000	0.7975
243.0000	0.2025	0.0000	0.0000	0.7975
244.0000	0.2025	0.0000	0.0000	0.7975
245.0000	0.2025	0.0000	0.0000	0.7975
246.0000	0.2025	0.0000	0.0000	0.7975
247.0000	0.2025	0.0000	0.0000	0.7975
248.0000	0.2025	0.0000	0.0000	0.7975
249.0000	0.2025	0.0000	0.0000	0.7975
250.0000	0.2025	0.0000	0.0000	0.7975
251.0000	0.2025	0.0000	0.0000	0.7975
252.0000	0.2025	0.0000	0.0000	0.7975
253.0000	0.2025	0.0000	0.0000	0.7975
254.0000	0.2025	0.0000	0.0000	0.7975
255.0000	0.2025	0.0000	0.0000	0.7975
256.0000	0.2025	0.0000	0.0000	0.7975
257.0000	0.2025	0.0000	0.0000	0.7975
258.0000	0.2025	0.0000	0.0000	0.7975
259.0000	0.2025	0.0000	0.0000	0.7975
260.0000	0.2025	0.0000	0.0000	0.7975
261.0000	0.2025	0.0000	0.0000	0.7975
262.0000	0.2025	0.0000	0.0000	0.7975
263.0000	0.2025	0.0000	0.0000	0.7975
264.0000	0.2025	0.0000	0.0000	0.7975
265.0000	0.2025	0.0000	0.0000	0.7975
266.0000	0.2025	0.0000	0.0000	0.7975
267.0000	0.2025	0.0000	0.0000	0.7975
268.0000	0.2025	0.0000	0.0000	0.7975
269.0000	0.2025	0.0000	0.0000	0.7975
270.0000	0.2025	0.0000	0.0000	0.7975
271.0000	0.2025	0.0000	0.0000	0.7975
272.0000	0.2025	0.0000	0.0000	0.7975
273.0000	0.2025	0.0000	0.0000	0.7975
274.0000	0.2025	0.0000	0.0000	0.7975
275.0000	0.2025	0.0000	0.0000	0.7975
276.0000	0.2025	0.0000	0.0000	0.7975
277.0000	0.2025	0.0000	0.0000	0.7975
278.0000	0.2025	0.0000	0.0000	0.7975
279.0000	0.2025	0.0000	0.0000	0.7975
280.0000	0.2025	0.0000	0.0000	0.7975
281.0000	0.2025	0.0000	0.0000	0.7975
282.0000	0.2025	0.0000	0.0000	0.7975
283.0000	0.2025	0.0000	0.0000	0.7975
284.0000	0.2025	0.0000	0.0000	0.7975
285.0000	0.2025	0.0000	0.0000	0.7975
286.0000	0.2025	0.0000	0.0000	0.7975
287.0000	0.2025	0.0000	0.0000	0.7975
288.0000	0.2025	0.0000	0.0000	0.7975
289.0000	0.2025	0.0000	0.0000	0.7975
290.0000	0.2025	0.0000	0.0000	0.7975
291.0000	0.2025	0.0000	0.0000	0.7975
292.0000	0.2025	0.0000	0.0000	0.7975
293.0000	0.2025	0.0000	0.0000	0.7975
294.0000	0.2025	0.0000	0.0000	0.7975
295.0000	0.2025	0.0000	0.0000	0.7975
296.0000	0.2025	0.0000	0.0000	0.7975
297.0000	0.2025	0.0000	0.0000	0.7975
298.0000	0.2025	0.0000	0.0000	0.7975
299.0000	0.2025	0.0000	0.0000	0.7975
300.0000	0.2025	0.0000	0.0000	0.7975
301.0000	0.2025	0.0000	0.0000	0.7975
302.0000	0.2025	0.0000	0.0000	0.7975
303.0000	0.2025	0.0000	0.0000	0.7975
304.0000	0.2025	0.0000	0.0000	0.7975
305.0000	0.2025	0.0000	0.0000	0.7975
306.0000	0.2025	0.0000	0.0000	0.7975
307.0000	0.2025	0.0000	0.0000	0.7975
308.0000	0.2025	0.0000	0.0000	0.7975
309.0000	0.2025	0.0000	0.0000	0.7975
310.0000	0.2025	0.0000	0.0000	0.7975
311.0000	0.2025	0.0000	0.0000	0.7975
312.0000	0.2025	0.0000	0.0000	0.7975
313.0000	0.2025	0.0000	0.0000	0.7975
314.0000	0.2025	0.0000	0.0000	0.7975
315.0000	0.2025	0.0000	0.0000	0.7975
316.0000	0.2025	0.0000	0.0000	0.7975
317.0000	0.2025	0.0000	0.0000	0.7975
318.0000	0.2025	0.0000	0.0000	0.7975
319.0000	0.2025	0.0000	0.0000	0.7975
320.0000	0.2025	0.0000	0.0000	0.7975
321.0000	0.2025	0.0000	0.0000	0.7975
322.0000	0.2025	0.0000	0.0000	0.7975
323.0000	0.2025	0.0000	0.0000	0.7975
324.0000	0.2025	0.0000	0.0000	0.7975
325.0000	0.2025	0.0000	0.0000	0.7975
326.0000	0.2025	0.0000	0.0000	0.7975
327.0000	0.2025	0.0000	0.0000	0.7975
328.0000	0.2025	0.0000	0.0000	0.7975
329.0000	0.2025	0.0000	0.0000	0.7975
330.0000	0.2025	0.0000	0.0000	0.7975
331.0000	0.2025	0.0000	0.0000	0.7975
332.0000	0.2025	0.0000	0.0000	0.7975
333.0000	0.2025	0.0000	0.0000	0.7975
334.0000	0.2025	0.0000	0.0000	0.7975
335.0000	0.2025	0.0000	0.0000	0.7975
336.0000	0.2025	0.0000	0.0000	0.7975
337.0000	0.2025	0.0000	0.0000	0.7975
338.0000	0.2025	0.0000	0.0000	0.7975
339.0000	0.2025	0.0000	0.0000	0.7975
340.0000	0.2025	0.0000	0.0000	0.7975
341.0000	0.2025	0.0000	0.0000	0.7975
342.0000	0.2025	0.0000	0.0000	0.7975
343.0000	0.2025	0.0000	0.0000	0.7975
344.0000	0.2025	0.0000	0.0000	0.7975
345.0000	0.2025	0.0000	0.0000	0.7975
346.0000	0.2025	0.0000	0.0000	0.7975
347.0000	0.2025	0.0000	0.0000	0.7975
348.0000	0.2025	0.0000	0.0000	0.7975
349.0000	0.2025	0.0000	0.0000	0.7975
350.0000	0.2025	0.0000	0.0000	0.7975
351.0000	0.2025	0.0000	0.0000	0.7975
352.0000	0.2025	0.0000	0.0000	0.7975
353.0000	0.2025	0.0000	0.0000	0.7975
354.0000	0.2025	0.0000	0.0000	0.7975
355.0000	0.2025	0.0000	0.0000	0.7975
356.0000	0.2025	0.0000	0.0000	0.7975
357.0000	0.2025	0.0000	0.0000	0.7975
358.0000	0.2025	0.0000	0.0000	0.7975
359.0000	0.2025	0.0000	0.0000	0.7975
360.0000	0.2025	0.0000	0.0000	0.7975
361.0000	0.2025	0.0000	0.0000	0.7975
362.0000	0.2025	0.0000	0.0000	0.7975
363.0000	0.2025	0.0000	0.0000	0.7975
364.0000	0.2025	0.0000	0.0000	0.7975
365.0000	0.2025	0.0000	0.0000	0.7975
366.0000	0.2025	0.0000	0.0000	0.7975
367.0000	0.2025	0.0000	0.0000	0.7975
368.0000	0.2025	0.0000	0.0000	0.7975
369.0000	0.2025	0.0000	0.0000	0.7975
370.0000	0.2025	0.0000	0.0000	0.7975
371.0000	0.2025	0.0000	0.0000	0.7975
372.0000	0.2025	0.0000	0.0000	0.7975
373.0000	0.2025	0.0000	0.0000	0.7975
374.0000	0.2025	0.0000	0.0000	0.7975
375.0000	0.2025	0.0000	0.0000	0.7975
376.0000	0.2025	0.0000	0.0000	0.7975
377.0000	0.2025	0.0000	0.0000	0.7975
378.0000	0.2025	0.0000	0.0000	0.7975
379.0000	0.2025	0.0000	0.0000	0.7975
380.0000	0.2025	0.0000	0.0000	0.7975
381.0000	0.2025	0.0000	0.0000	0.7975
382.0000	0.2025	0.0000	0.0000	0.7975
383.0000	0.2025	0.0000	0.0000	0.7975
384.0000	0.2025	0.0000	0.0000	0.7975
385.0000	0.2025	0.0000	0.0000	0.7975
386.0000	0.2025	0.0000	0.0000	0.7975
387.0000	0.2025	0.0000	0.0000	0.7975
388.0000	0.2025	0.0000	0.0000	0.7975
389.0000	0.2025	0.0000	0.0000	0.7975
390.0000	0.2025	0.0000	0.0000	0.7975
391.0000	0.2025	0.0000	0.0000	0.7975
392.0000	0.2025	0.0000	0.0000	0.7975
393.0000	0.2025	0.0000	0.0000	0.7975
394.0000	0.2025	0.0000	0.0000	0.7975
395.0000	0.2025	0.0000	0.0000	0.7975
396.0000	0.2025	0.0000	0.0000	0.7975
397.0000	0.2025	0.0000	0.0000	0.7975
398.0000	0.2025	0.0000	0.0000	0.7975
399.0000	0.2025	0.0000	0.0000	0.7975
400.0000	0.2025	0.0000	0.0000	0.7975
