##SIR iterated, tauI=7 tauR=18 R0=1.40  produced by macroInfection[.cpp]
#time[days]	S	I	R
157.0000	0.41842	0.00235	0.57923
158.0000	0.41837	0.00214	0.57949
159.0000	0.41832	0.00196	0.57972
160.0000	0.41828	0.00181	0.57992
161.0000	0.41822	0.00168	0.58009
162.0000	0.41818	0.00157	0.58025
163.0000	0.41814	0.00147	0.58039
164.0000	0.41810	0.00138	0.58052
165.0000	0.41807	0.00126	0.58067
166.0000	0.41804	0.00115	0.58081
167.0000	0.41802	0.00106	0.58092
168.0000	0.41799	0.00099	0.58103
169.0000	0.41796	0.00092	0.58112
170.0000	0.41793	0.00086	0.58120
171.0000	0.41791	0.00081	0.58128
172.0000	0.41790	0.00074	0.58137
173.0000	0.41788	0.00068	0.58145
174.0000	0.41786	0.00062	0.58152
175.0000	0.41785	0.00058	0.58158
176.0000	0.41783	0.00054	0.58163
177.0000	0.41782	0.00050	0.58168
178.0000	0.41780	0.00047	0.58172
179.0000	0.41779	0.00043	0.58178
180.0000	0.41778	0.00040	0.58182
181.0000	0.41777	0.00036	0.58186
182.0000	0.41776	0.00034	0.58190
183.0000	0.41775	0.00032	0.58193
184.0000	0.41775	0.00030	0.58196
185.0000	0.41774	0.00028	0.58198
186.0000	0.41773	0.00025	0.58201
187.0000	0.41773	0.00023	0.58204
188.0000	0.41772	0.00021	0.58207
189.0000	0.41772	0.00020	0.58209
190.0000	0.41771	0.00018	0.58210
191.0000	0.41771	0.00017	0.58212
192.0000	0.41770	0.00016	0.58214
193.0000	0.41770	0.00015	0.58215
194.0000	0.41769	0.00014	0.58217
195.0000	0.41769	0.00012	0.58218
196.0000	0.41769	0.00012	0.58220
197.0000	0.41768	0.00011	0.58221
198.0000	0.41768	0.00010	0.58222
199.0000	0.41768	0.00009	0.58223
200.0000	0.41768	0.00009	0.58224
201.0000	0.41768	0.00008	0.58225
202.0000	0.41767	0.00007	0.58225
203.0000	0.41767	0.00007	0.58226
204.0000	0.41767	0.00006	0.58227
205.0000	0.41767	0.00006	0.58227
206.0000	0.41767	0.00006	0.58228
207.0000	0.41767	0.00005	0.58228
208.0000	0.41766	0.00005	0.58229
209.0000	0.41766	0.00004	0.58229
210.0000	0.41766	0.00004	0.58230
211.0000	0.41766	0.00004	0.58230
212.0000	0.41766	0.00003	0.58231
213.0000	0.41766	0.00003	0.58231
214.0000	0.41766	0.00003	0.58231
215.0000	0.41766	0.00003	0.58232
216.0000	0.41766	0.00002	0.58232
217.0000	0.41766	0.00002	0.58232
218.0000	0.41766	0.00002	0.58232
219.0000	0.41766	0.00002	0.58232
220.0000	0.41765	0.00002	0.58233
